"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	15	1296870	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Illinois"	"17"	11	421597	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Ohio"	"39"	11	376537	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Texas"	"48"	15	1052335	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	15	1296870	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Illinois"	"17"	11	421597	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Ohio"	"39"	11	376537	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Texas"	"48"	15	1052335	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	15	1052335	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	11	1052335	Unreliable
	"10-14 years"	"10-14"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	16	1052335	Unreliable
