"","country","suicide_rate","health_spend","unemployment","gdp"
"1","Albania",42.0345454545455,132.227482066875,27.8,1859
"3","Argentina",125.631935483871,573.786974325,19.53999977112,7914
"4","Armenia",39.0484,67.345878665625,35.91999969482,1887
"6","Australia",155.913666666667,2636.102377875,11.95999984742,32776
"7","Austria",283.6321875,3457.3357923125,8.80000000002,34328
"8","Azerbaijan",22.265,104.23747346125,14.08000011444,1005
"10","Bahrain",22.2495238095238,617.9148217875,10.71999988556,18040
"11","Barbados",35.6452,695.7741445125,26.05999984742,12251
"12","Belarus",372.910952380952,167.454650890625,12.3,3334
"13","Belgium",254.854838709677,3002.65036875,21.50000038148,32067
"14","Belize",74.7675,162.0821482375,23.11999969482,4006
"15","Bosnia and Herzegovina",55.405,229.86992088,58.18000030516,5078
"16","Brazil",70.1522580645161,418.38634015625,15.33999996186,6091
"17","Bulgaria",233.869333333333,219.831496175625,26.38000030514,3640
"19","Canada",149.611034482759,2973.684334375,14.08000011442,30887
"20","Chile",126.504516129032,509.25956388125,16.98000030518,7493
"21","Colombia",64.8190322580645,259.5817308625,20.7799999237,3709
"22","Costa Rica",85.124,380.09202018125,18.3799999237,5150
"23","Croatia",271.947272727273,617.54788685,42.07999954224,10375
"24","Cuba",254.664583333333,294.21948553125,6.71999998092,4351
"25","Cyprus",39.084,1166.88371549375,27.36000022888,27640
"26","Czech Republic",220.481111111111,755.7465960625,18.32000007628,12414
"27","Denmark",169.165909090909,4059.7690931875,13.58000011444,49300
"29","Ecuador",75.651935483871,154.528771725625,10.69999999998,3286
"30","El Salvador",126.4975,183.6048072875,11.95999984742,2551
"31","Estonia",327.322857142857,480.1707413625,22.5200000763,11376
"32","Fiji",61.26,107.313704740625,19.72000045778,3913
"33","Finland",273.245172413793,2695.5504655625,19.1799999237,35468
"34","France",260.108333333333,3328.014787375,23.1799999237,31481
"35","Georgia",50.7445454545455,112.041184414375,35.39999923706,1893
"36","Germany",186.718846153846,3387.7283883125,8.31999998092,35164
"37","Greece",48.778064516129,1741.24481860625,48.62000045776,17019
"39","Guatemala",38.2233333333333,121.7888283825,5.9599999428,2264
"40","Guyana",266.2368,84.389721538125,23.29999961854,1675
"41","Hungary",390.618076923077,636.58260858125,25.7,9396
"42","Iceland",152.804375,3728.702798125,13.2200000763,39407
"43","Ireland",129.391,2831.8170146875,28,34231
"44","Israel",107.418387096774,1557.9367105,11.8400001526,23125
"45","Italy",102.221612903226,2273.0207181875,35.1799999237,26603
"46","Jamaica",6.26117647058823,185.132555388125,31.72000045776,3301
"47","Japan",258.878387096774,2857.7032483125,7.64000015258,36398
"48","Kazakhstan",366.135384615385,142.965749885625,4.69999999998,5329
"50","Kuwait",14.2372,825.2385752375,18.6400001526,27819
"52","Latvia",351.111904761905,405.73976873125,27.32000007632,8961
"53","Lithuania",481.312727272727,404.545717395,27.36000022886,9330
"54","Luxembourg",198.598709677419,5074.237366875,17,68798
"56","Maldives",16.408,227.2451349775,26.0799999237,5089
"57","Malta",60.3874193548387,1065.54141838125,13.8400001526,14044
"58","Mauritius",139.518125,221.3517851375,22.32000045774,5533
"59","Mexico",56.49,380.41435608,9.6399997711,7138
"60","Mongolia",184.39,44.77845845375,10.32000026704,4145
"61","Montenegro",119.403,276.935512275,40.9,4196
"62","Netherlands",127.07875,3317.0561275625,9.58000011444,35779
"63","New Zealand",172.700689655172,1815.1619955,16.4600004196,22279
"64","Nicaragua",78.8033333333333,67.6020093,9.96000013352,2029
"65","Norway",155.292,5000.0339411875,8.80000000002,57320
"66","Oman",8.83333333333333,326.354730775,18.89999961856,20741
"67","Panama",69.7624,354.41355060625,11.5799999237,6627
"68","Paraguay",50.6062962962963,113.2695083375,10.4599998474,2366
"69","Philippines",29.0553333333333,43.8140510775,16.45999984742,1540
"70","Poland",183.234166666667,456.66641135625,25.29999999998,8146
"71","Portugal",136.05037037037,1521.0444436,32.89999923708,14176
"73","Qatar",21.21,1152.58559175625,1.4600000143,67698
"75","Romania",148.983928571429,208.472742373125,23.57999954226,4823
"81","Serbia",265.969444444444,279.68725232375,49.14000015258,4471
"83","Singapore",204.547741935484,951.62974410625,9.33999996186,38050
"85","Slovenia",333.934285714286,1317.7020265375,18.91999988558,18642
"86","South Africa",11.5745,366.08483186875,51.41999969482,5590
"87","Spain",113.195483870968,1808.090800625,51.77999954224,20982
"88","Sri Lanka",423.541818181818,42.832595594375,17.95999984742,904
"89","Suriname",255.797142857143,238.38570077375,18.09999999998,4352
"90","Sweden",174.924,3252.0453661875,23.84000015258,41437
"91","Switzerland",228.289047619048,5056.524036,8.25999994278,62982
"92","Thailand",84.3810714285714,102.64447078125,3.42000002862,3591
"93","Trinidad and Tobago",165.907777777778,471.12260556875,11.46000003816,8829
"94","Turkey",28.4528571428571,314.6891415475,18.08000030516,12134
"95","Turkmenistan",103.266551724138,73.193661986875,20.62000045776,2618
"96","Ukraine",318.987857142857,106.953659915625,17.31999969482,1868
"97","United Arab Emirates",15.815,1031.79445186875,9.86000003812,42162
"98","United Kingdom",90.0296774193548,2493.8635321875,19.6200000763,31908
"99","United States",165.837741935484,5822.539727625,16.48000011442,39270
"100","Uruguay",233.534285714286,583.16181819375,18.87999992372,7622
"101","Uzbekistan",97.1895454545455,38.8020820075,20.52000007632,976
