"","States","Gender","Year","Death","Population","Rate"
"1","United States","Female",2000,5709,142433484,4.01
"2","United States","Male",2000,23611,138053563,17.1
"3","United States","Female",2001,5943,144773723,4.11
"4","United States","Male",2001,24658,139891492,17.63
"5","United States","Female",2002,6230,145676836,4.28
"6","United States","Male",2002,25399,141230559,17.98
"7","United States","Female",2003,6276,147378429,4.26
"8","United States","Male",2003,25196,142428897,17.69
"9","United States","Female",2004,6867,148677002,4.62
"10","United States","Male",2004,25555,143828012,17.77
"11","United States","Female",2005,6714,149698365,4.49
"12","United States","Male",2005,25900,145197078,17.84
"13","United States","Female",2006,6986,151431325,4.61
"14","United States","Male",2006,26300,146647265,17.93
"15","United States","Female",2007,7320,152842287,4.79
"16","United States","Male",2007,27264,148064854,18.41
"17","United States","Female",2008,7583,154604015,4.9
"18","United States","Male",2008,28447,149489951,19.03
"19","United States","Female",2009,7817,155652247,5.02
"20","United States","Male",2009,29077,150807454,19.28
"21","United States","Female",2010,8078,156646711,5.16
"22","United States","Male",2010,30271,151781326,19.94
"23","Alabama","Female",2000,112,2300596,4.87
"24","Alabama","Female",2001,97,2309496,4.2
"25","Alabama","Female",2002,99,2314370,4.28
"26","Alabama","Female",2003,96,2324069,4.13
"27","Alabama","Female",2004,97,2337857,4.15
"28","Alabama","Female",2005,96,2356423,4.07
"29","Alabama","Female",2006,96,2385480,4.02
"30","Alabama","Female",2007,122,2407275,5.07
"31","Alabama","Female",2008,121,2430257,4.98
"32","Alabama","Female",2009,130,2448159,5.31
"33","Alabama","Female",2010,141,2459548,5.73
"34","Alabama","Male",2000,471,2146504,21.94
"35","Alabama","Male",2001,415,2158138,19.23
"36","Alabama","Male",2002,415,2165719,19.16
"37","Alabama","Male",2003,425,2179422,19.5
"38","Alabama","Male",2004,444,2192872,20.25
"39","Alabama","Male",2005,439,2213382,19.83
"40","Alabama","Male",2006,484,2243501,21.57
"41","Alabama","Male",2007,470,2265565,20.75
"42","Alabama","Male",2008,483,2287949,21.11
"43","Alabama","Male",2009,543,2309779,23.51
"44","Alabama","Male",2010,538,2320188,23.19
"45","Alaska","Female",2000,25,302820,8.26
"46","Alaska","Female",2001,20,305579,6.54
"47","Alaska","Female",2002,35,309633,11.3
"48","Alaska","Female",2003,25,313034,7.99
"49","Alaska","Female",2004,37,317807,11.64
"50","Alaska","Female",2005,27,320920,8.41
"51","Alaska","Female",2006,31,325121,9.53
"52","Alaska","Female",2007,26,327138,7.95
"53","Alaska","Female",2008,34,329412,10.32
"54","Alaska","Female",2009,32,337002,9.5
"55","Alaska","Female",2010,34,340603,9.98
"56","Alaska","Male",2000,112,324112,34.56
"57","Alaska","Male",2001,82,328135,24.99
"58","Alaska","Male",2002,97,332704,29.16
"59","Alaska","Male",2003,99,335380,29.52
"60","Alaska","Male",2004,118,341479,34.56
"61","Alaska","Male",2005,104,346026,30.06
"62","Alaska","Male",2006,104,350181,29.7
"63","Alaska","Male",2007,123,353162,34.83
"64","Alaska","Male",2008,135,358043,37.7
"65","Alaska","Male",2009,111,361893,30.67
"66","Alaska","Male",2010,130,369628,35.17
"67","Arizona","Female",2000,156,2569575,6.07
"68","Arizona","Female",2001,145,2641676,5.49
"69","Arizona","Female",2002,171,2704217,6.32
"70","Arizona","Female",2003,172,2764077,6.22
"71","Arizona","Female",2004,186,2835606,6.56
"72","Arizona","Female",2005,200,2930811,6.82
"73","Arizona","Female",2006,213,3026134,7.04
"74","Arizona","Female",2007,217,3096998,7.01
"75","Arizona","Female",2008,232,3155278,7.35
"76","Arizona","Female",2009,266,3189908,8.34
"77","Arizona","Female",2010,225,3216194,7
"78","Arizona","Male",2000,628,2561057,24.52
"79","Arizona","Male",2001,622,2631801,23.63
"80","Arizona","Male",2002,715,2692038,26.56
"81","Arizona","Male",2003,667,2746287,24.29
"82","Arizona","Male",2004,694,2816798,24.64
"83","Arizona","Male",2005,743,2908266,25.55
"84","Arizona","Male",2006,764,3003007,25.44
"85","Arizona","Male",2007,798,3070683,25.99
"86","Arizona","Male",2008,740,3125084,23.68
